
> coreone-backend@1.1.0 dev
> tsx watch src/app.ts

Database initialized successfully
(node:27316) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-20T03:46:50.571Z] POST /api/v1/auth/login
[2026-05-20T03:46:50.879Z] PUT /api/v1/users/test-id
[2026-05-20T03:46:50.891Z] POST /api/v1/auth/login
[2026-05-20T03:46:51.221Z] GET /api/v1/users
[2026-05-20T03:46:51.348Z] POST /api/v1/auth/login
[2026-05-20T03:46:51.671Z] GET /api/v1/users
[2026-05-20T03:46:51.674Z] PUT /api/v1/users/157aaa75-0329-4b14-9e56-fef049b0965d
[2026-05-20T03:46:51.685Z] PUT /api/v1/users/157aaa75-0329-4b14-9e56-fef049b0965d
[2026-05-20T03:46:51.848Z] POST /api/v1/auth/login
[2026-05-20T03:46:52.160Z] GET /api/v1/users
[2026-05-20T03:46:52.840Z] POST /api/v1/auth/login
[2026-05-20T03:46:53.476Z] GET /api/v1/users
[2026-05-20T03:46:53.479Z] GET /api/v1/users
[2026-05-20T03:46:53.481Z] GET /api/v1/roles
[2026-05-20T03:46:53.483Z] GET /api/v1/roles
[2026-05-20T03:46:55.625Z] POST /api/v1/auth/login
[2026-05-20T03:46:55.920Z] GET /api/v1/users
[2026-05-20T03:46:56.523Z] POST /api/v1/auth/login
[2026-05-20T03:46:56.955Z] GET /api/v1/inventory/stats
[2026-05-20T03:46:56.960Z] GET /api/v1/inventory/stats
[2026-05-20T03:46:56.963Z] GET /api/v1/inbound
[2026-05-20T03:46:56.965Z] GET /api/v1/outbound
[2026-05-20T03:46:57.160Z] GET /api/v1/users
[2026-05-20T03:46:57.162Z] GET /api/v1/roles
[2026-05-20T03:46:57.164Z] GET /api/v1/users
[2026-05-20T03:46:57.165Z] GET /api/v1/roles
[2026-05-20T03:46:58.798Z] POST /api/v1/auth/login
[2026-05-20T03:46:59.112Z] GET /api/v1/users
[2026-05-20T03:46:59.987Z] POST /api/v1/auth/login
[2026-05-20T03:47:00.624Z] GET /api/v1/users
[2026-05-20T03:47:00.628Z] GET /api/v1/users
[2026-05-20T03:47:00.630Z] GET /api/v1/roles
[2026-05-20T03:47:00.632Z] GET /api/v1/roles
[2026-05-20T03:47:03.133Z] POST /api/v1/auth/login
[2026-05-20T03:47:03.671Z] GET /api/v1/users
[2026-05-20T03:47:04.773Z] POST /api/v1/auth/login
[2026-05-20T03:47:05.580Z] GET /api/v1/inventory/stats
[2026-05-20T03:47:05.586Z] GET /api/v1/inventory/stats
[2026-05-20T03:47:05.590Z] GET /api/v1/inbound
[2026-05-20T03:47:05.592Z] GET /api/v1/outbound
[2026-05-20T03:47:05.951Z] GET /api/v1/users
[2026-05-20T03:47:05.954Z] GET /api/v1/roles
[2026-05-20T03:47:05.957Z] GET /api/v1/users
[2026-05-20T03:47:05.959Z] GET /api/v1/roles
[2026-05-20T03:47:10.530Z] POST /api/v1/auth/login
[2026-05-20T03:47:10.997Z] GET /api/v1/users
[2026-05-20T03:47:11.787Z] POST /api/v1/auth/login
[2026-05-20T03:47:12.201Z] POST /api/v1/users
[2026-05-20T03:47:13.167Z] POST /api/v1/auth/login
[2026-05-20T03:47:13.811Z] GET /api/v1/users
[2026-05-20T03:47:13.815Z] GET /api/v1/users
[2026-05-20T03:47:13.817Z] GET /api/v1/roles
[2026-05-20T03:47:13.819Z] GET /api/v1/roles
[2026-05-20T03:47:15.265Z] DELETE /api/v1/users/9ed81d2d-76c8-4daa-895d-2fee4f2433c8
[2026-05-20T03:47:15.558Z] POST /api/v1/auth/login
[2026-05-20T03:47:15.926Z] GET /api/v1/users
[2026-05-20T03:47:16.063Z] POST /api/v1/auth/login
[2026-05-20T03:47:16.382Z] GET /api/v1/users
[2026-05-20T03:47:16.385Z] DELETE /api/v1/users/USER-001
[2026-05-20T03:47:18.308Z] POST /api/v1/auth/login
[2026-05-20T03:47:18.666Z] GET /api/v1/users
[2026-05-20T03:47:19.377Z] POST /api/v1/auth/login
[2026-05-20T03:47:19.762Z] POST /api/v1/users
[2026-05-20T03:47:20.098Z] DELETE /api/v1/users/a65353f1-4818-411c-911c-d2968f2ed089
[2026-05-20T03:47:20.109Z] DELETE /api/v1/users/a65353f1-4818-411c-911c-d2968f2ed089
[2026-05-20T03:47:20.279Z] POST /api/v1/auth/login
[2026-05-20T03:47:20.610Z] GET /api/v1/users
[2026-05-20T03:47:20.614Z] POST /api/v1/auth/login
[2026-05-20T03:47:20.922Z] DELETE /api/v1/users/test-id
[2026-05-20T03:47:20.934Z] POST /api/v1/auth/login
[2026-05-20T03:47:21.243Z] GET /api/v1/users
[2026-05-20T03:47:21.246Z] POST /api/v1/auth/login
[2026-05-20T03:47:21.557Z] DELETE /api/v1/users/test-id
[2026-05-20T03:47:21.570Z] POST /api/v1/auth/login
[2026-05-20T03:47:21.872Z] GET /api/v1/users
[2026-05-20T03:47:21.875Z] POST /api/v1/auth/login
[2026-05-20T03:47:22.172Z] DELETE /api/v1/users/test-id
[2026-05-20T03:47:22.190Z] POST /api/v1/auth/login
[2026-05-20T03:47:22.528Z] GET /api/v1/users
[2026-05-20T03:47:22.530Z] POST /api/v1/auth/login
[2026-05-20T03:47:22.837Z] DELETE /api/v1/users/test-id
[2026-05-20T03:47:22.851Z] POST /api/v1/auth/login
[2026-05-20T03:47:23.142Z] GET /api/v1/users
[2026-05-20T03:47:23.144Z] POST /api/v1/auth/login
[2026-05-20T03:47:23.442Z] DELETE /api/v1/users/test-id
[2026-05-20T03:47:23.454Z] POST /api/v1/auth/login
[2026-05-20T03:47:23.755Z] GET /api/v1/users
[2026-05-20T03:47:24.823Z] POST /api/v1/auth/login
[2026-05-20T03:47:25.239Z] GET /api/v1/inventory/stats
[2026-05-20T03:47:25.464Z] GET /api/v1/users
[2026-05-20T03:47:25.466Z] GET /api/v1/roles
[2026-05-20T03:47:25.468Z] GET /api/v1/users
[2026-05-20T03:47:25.470Z] GET /api/v1/roles
[2026-05-20T03:47:27.268Z] POST /api/v1/auth/login
[2026-05-20T03:47:27.665Z] GET /api/v1/users
[2026-05-20T03:47:27.813Z] POST /api/v1/auth/login
[2026-05-20T03:47:28.162Z] POST /api/v1/users
[2026-05-20T03:47:28.975Z] POST /api/v1/auth/login
[2026-05-20T03:47:29.612Z] GET /api/v1/users
[2026-05-20T03:47:29.615Z] GET /api/v1/users
[2026-05-20T03:47:29.617Z] GET /api/v1/roles
[2026-05-20T03:47:29.619Z] GET /api/v1/roles
[2026-05-20T03:47:31.314Z] POST /api/v1/auth/login
[2026-05-20T03:47:31.645Z] GET /api/v1/users
[2026-05-20T03:47:31.647Z] DELETE /api/v1/users/4c78f679-b9c8-424c-8471-ce295194fdc8
[2026-05-20T03:47:32.289Z] POST /api/v1/auth/login
[2026-05-20T03:47:32.880Z] GET /api/v1/users
[2026-05-20T03:47:32.883Z] GET /api/v1/users
[2026-05-20T03:47:32.885Z] GET /api/v1/roles
[2026-05-20T03:47:32.887Z] GET /api/v1/roles
[2026-05-20T03:47:35.349Z] POST /api/v1/auth/login
[2026-05-20T03:47:35.670Z] GET /api/v1/users
[2026-05-20T03:47:35.806Z] POST /api/v1/auth/login
[2026-05-20T03:47:36.145Z] GET /api/v1/users
[2026-05-20T03:47:36.147Z] PUT /api/v1/users/USER-001
[2026-05-20T03:47:37.921Z] POST /api/v1/auth/login
[2026-05-20T03:47:38.243Z] GET /api/v1/users
[2026-05-20T03:47:39.823Z] POST /api/v1/auth/login
[2026-05-20T03:47:40.254Z] GET /api/v1/inventory/stats
[2026-05-20T03:47:40.259Z] GET /api/v1/inbound
[2026-05-20T03:47:40.261Z] GET /api/v1/inventory/stats
[2026-05-20T03:47:40.263Z] GET /api/v1/outbound
[2026-05-20T03:47:40.265Z] GET /api/v1/outbound
[2026-05-20T03:47:40.473Z] GET /api/v1/users
[2026-05-20T03:47:40.476Z] GET /api/v1/roles
[2026-05-20T03:47:40.478Z] GET /api/v1/users
[2026-05-20T03:47:40.479Z] GET /api/v1/roles
[2026-05-20T03:47:42.310Z] POST /api/v1/auth/login
[2026-05-20T03:47:42.699Z] GET /api/v1/users
[2026-05-20T03:47:43.395Z] POST /api/v1/auth/login
[2026-05-20T03:47:44.049Z] GET /api/v1/users
[2026-05-20T03:47:44.052Z] GET /api/v1/roles
[2026-05-20T03:47:44.054Z] GET /api/v1/users
[2026-05-20T03:47:44.056Z] GET /api/v1/roles
[2026-05-20T03:47:46.523Z] POST /api/v1/auth/login
[2026-05-20T03:47:46.909Z] GET /api/v1/users
[2026-05-20T03:47:47.523Z] POST /api/v1/auth/login
[2026-05-20T03:47:48.136Z] GET /api/v1/users
[2026-05-20T03:47:48.140Z] GET /api/v1/roles
[2026-05-20T03:47:48.141Z] GET /api/v1/users
[2026-05-20T03:47:48.143Z] GET /api/v1/roles
[2026-05-20T03:47:51.373Z] POST /api/v1/auth/login
[2026-05-20T03:47:51.703Z] GET /api/v1/users
[2026-05-20T03:47:51.706Z] POST /api/v1/auth/login
[2026-05-20T03:47:52.052Z] POST /api/v1/users/test-id/reset-password
[2026-05-20T03:47:52.067Z] POST /api/v1/auth/login
[2026-05-20T03:47:52.360Z] GET /api/v1/users
[2026-05-20T03:47:53.140Z] POST /api/v1/auth/login
[2026-05-20T03:47:53.819Z] GET /api/v1/users
[2026-05-20T03:47:53.823Z] GET /api/v1/users
[2026-05-20T03:47:53.825Z] GET /api/v1/roles
[2026-05-20T03:47:53.827Z] GET /api/v1/roles
[2026-05-20T03:47:56.547Z] POST /api/v1/auth/login
[2026-05-20T03:47:56.913Z] GET /api/v1/users
[2026-05-20T03:47:57.524Z] POST /api/v1/auth/login
[2026-05-20T03:47:58.136Z] GET /api/v1/users
