Database initialized successfully
(node:20256) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-16T01:20:44.337Z] GET /api/v1/outbound
[2026-05-16T01:20:44.560Z] POST /api/v1/auth/login
[2026-05-16T01:20:44.859Z] GET /api/v1/inbound
[2026-05-16T01:20:45.637Z] POST /api/v1/auth/login
[2026-05-16T01:20:45.923Z] POST /api/v1/auth/login
[2026-05-16T01:20:46.200Z] GET /api/v1/inbound
[2026-05-16T01:20:46.200Z] GET /api/v1/inventory/stats
[2026-05-16T01:20:46.201Z] GET /api/v1/inbound
[2026-05-16T01:20:46.201Z] GET /api/v1/outbound
[2026-05-16T01:20:46.202Z] GET /api/v1/inventory/stats
[2026-05-16T01:20:46.202Z] GET /api/v1/inbound
[2026-05-16T01:20:46.203Z] GET /api/v1/outbound
